"StudentID","Age","Gender","Ethnicity","ParentalEducation","StudyTimeWeekly","Absences","Tutoring","ParentalSupport","Extracurricular","Sports","Music","Volunteering","GPA","GradeClass"
1001,17,"Female","Caucasian","Some College",19.8337228078547,7,1,"Moderate",0,0,1,0,2.92919559166768,"C"
1002,18,"Male","Caucasian","High School",15.4087560558467,0,0,"Low",0,0,0,0,3.04291483343638,"B"
1003,15,"Male","Asian","Bachelor's",4.21056976881226,26,0,"Moderate",0,0,0,0,0.112602254466181,"E"
1004,17,"Female","Caucasian","Bachelor's",10.0288294739582,14,0,"High",1,0,0,0,2.05421813970295,"D"
1005,17,"Female","Caucasian","Some College",4.67249527297133,17,1,"High",0,0,0,0,1.28806118179539,"E"
1006,18,"Male","Caucasian","High School",8.19121854525019,0,0,"Low",1,0,0,0,3.08418361448639,"B"
1007,15,"Male","African American","High School",15.6016804746993,10,0,"High",0,1,0,0,2.74823741489158,"C"
1008,15,"Female","African American","Higher",15.4244963058081,22,1,"Low",1,0,0,0,1.36014271231646,"E"
1009,17,"Male","Caucasian","None",4.5620075580477,1,0,"Moderate",0,1,0,1,2.89681918951357,"C"
1010,16,"Female","Caucasian","High School",18.4444663630972,0,0,"High",1,0,0,0,3.57347421032977,"A"
1011,17,"Male","Caucasian","High School",11.8513636552965,11,0,"Low",0,0,0,0,2.14717162501851,"D"
1012,17,"Male","Caucasian","High School",7.59848581924029,15,0,"Moderate",0,0,0,1,1.55959451904028,"E"
1013,17,"Male","African American","High School",10.0387116156172,21,0,"High",1,0,0,0,1.52007781487481,"E"
1014,17,"Male","African American","Some College",12.1014250687549,21,0,"Very High",0,1,0,0,1.75158095833408,"E"
1015,18,"Female","Caucasian","High School",11.1978106369157,9,1,"Moderate",0,0,0,0,2.3967881171248,"D"
1016,15,"Male","Caucasian","Some College",9.72810071072356,17,1,"None",0,1,0,0,1.34152071653467,"E"
1017,18,"Male","Other","High School",10.098656081788,14,0,"Moderate",1,1,0,0,2.23217527771598,"D"
1018,18,"Female","Caucasian","None",3.52823820855772,16,1,"Moderate",0,0,0,0,1.38440417569403,"E"
1019,18,"Male","African American","Bachelor's",16.2546580860936,29,0,"Moderate",1,0,0,1,0.46955332337987,"E"
1020,17,"Male","Caucasian","High School",10.8352063988203,9,0,"Moderate",0,0,1,0,2.3957840945307,"D"
1021,16,"Female","Caucasian","Bachelor's",2.62159723409406,2,0,"High",0,0,0,1,2.77841129992065,"C"
1022,15,"Male","Caucasian","Some College",15.3231420316556,25,0,"Low",1,0,0,0,0.346894036705015,"E"
1023,16,"Female","African American","None",18.648879567547,29,1,"Low",0,0,0,0,0.312546230525355,"E"
1024,18,"Female","Other","Higher",18.9461379847392,20,0,"Moderate",1,0,0,0,1.77013187677997,"E"
1025,18,"Female","Caucasian","High School",7.38035464822345,15,0,"Moderate",0,0,0,0,1.50515562203629,"E"
1026,16,"Female","Caucasian","Bachelor's",2.71033747121508,5,0,"Very High",0,0,1,0,2.97785191831574,"C"
1027,16,"Male","Caucasian","High School",10.3679925326613,2,0,"Moderate",0,1,0,0,2.94871767191192,"C"
1028,16,"Female","Caucasian","Bachelor's",2.25218458698441,8,0,"High",0,0,1,0,2.14520472046719,"D"
1029,18,"Male","Caucasian","None",18.6797483702523,10,0,"High",1,0,0,0,2.85480392898132,"C"
1030,18,"Male","Caucasian","Some College",3.67159254710292,20,0,"High",1,0,0,0,1.51944172581514,"E"
1031,15,"Male","Asian","Some College",5.05531719902328,12,1,"None",0,1,0,0,1.72712030952241,"E"
1032,15,"Male","Caucasian","Bachelor's",8.13273053769941,17,0,"Very High",0,0,0,1,1.84753547113879,"E"
1033,18,"Male","Caucasian","Bachelor's",7.66328937118252,25,0,"Low",0,1,0,0,0.384616972856488,"E"
1034,16,"Male","Other","Bachelor's",15.8932578479578,21,0,"None",1,1,0,0,0.94940609779728,"E"
1035,16,"Male","Caucasian","Bachelor's",9.12633641101925,27,1,"Moderate",1,1,0,0,1.14095941842034,"E"
1036,15,"Male","Other","High School",3.41536520006674,23,0,"Low",0,0,0,0,0.261472260050752,"E"
1037,18,"Male","Caucasian","High School",5.34419790972148,26,1,"Low",0,0,0,0,0.218284856821032,"E"
1038,15,"Male","Asian","High School",10.1822677037504,21,1,"Low",0,1,0,0,1.06776355104198,"E"
1039,15,"Female","African American","High School",2.9490783485227,3,1,"Low",1,1,0,0,3.01890585842797,"B"
1040,17,"Female","Asian","High School",12.2331135129203,21,1,"High",1,1,0,0,1.52686783179272,"E"
1041,17,"Female","Other","Some College",11.3149461310229,23,1,"Low",0,0,0,0,1.05828739968986,"E"
1042,17,"Male","Caucasian","High School",14.2940463276452,7,0,"Moderate",0,0,0,0,2.62512809773223,"C"
1043,16,"Female","Other","Some College",18.7540923075874,12,1,"Very High",0,0,0,0,2.80875482202865,"C"
1044,18,"Female","Caucasian","High School",18.2450912220231,9,0,"Moderate",0,1,0,0,2.88889166927244,"C"
1045,18,"Female","Caucasian","High School",18.9215123613766,1,1,"High",1,1,0,0,4,"A"
1046,18,"Male","Caucasian","Some College",4.89431194047402,7,0,"Very High",0,0,1,0,2.51530027225625,"C"
1047,18,"Male","African American","Some College",2.63130613278709,5,0,"Low",1,0,0,0,2.56376543001509,"C"
1048,17,"Male","Caucasian","Some College",6.04553400992897,15,0,"Moderate",0,0,0,0,1.70361180323237,"E"
1049,16,"Male","African American","Some College",17.9017034553263,17,0,"High",0,0,1,0,2.09988515672059,"D"
1050,16,"Female","African American","High School",19.4410694924698,16,0,"Very High",1,0,0,0,2.4610469629081,"D"
1051,17,"Female","Asian","Some College",17.1864990214095,5,0,"High",0,0,0,0,2.93547719169463,"C"
1052,16,"Female","Asian","None",2.20035442255087,12,1,"Low",1,0,1,0,1.98637805921875,"E"
1053,17,"Female","Caucasian","High School",18.9485599611959,22,0,"Very High",0,0,1,0,1.57154419139928,"E"
1054,18,"Male","Caucasian","Some College",8.46716054701572,13,0,"Low",0,1,0,0,1.66431068966108,"E"
1055,17,"Male","Caucasian","None",0.186205815247074,29,1,"Moderate",1,1,0,0,0.756259166574192,"E"
1056,18,"Male","Caucasian","High School",8.84787481496387,25,0,"Moderate",0,1,0,0,0.802769539234207,"E"
1057,18,"Female","Caucasian","Higher",0.921383393509352,20,0,"Moderate",0,1,1,0,1.34238717795773,"E"
1058,15,"Male","Caucasian","Higher",10.8775584232224,29,0,"High",1,0,0,0,0.286571288286622,"E"
1059,17,"Male","Caucasian","High School",6.77108054874103,9,1,"High",0,1,0,0,2.61383869367367,"C"
1060,15,"Female","Other","None",9.46869867188098,23,0,"High",0,1,0,0,0.929012554625937,"E"
1061,17,"Female","African American","High School",12.2634072148623,10,0,"None",1,0,1,0,1.89275869592659,"E"
1062,17,"Male","Caucasian","High School",17.3760219163564,12,0,"Moderate",0,0,1,0,2.33126154930875,"D"
1063,15,"Male","African American","Bachelor's",13.2380315294386,11,0,"High",0,1,0,0,2.23423847260023,"D"
1064,15,"Male","Caucasian","High School",8.68097736956361,8,0,"Moderate",0,1,0,0,2.38582821907646,"D"
1065,17,"Male","Caucasian","Some College",16.3885570734073,3,1,"Very High",0,0,0,0,3.34735674350781,"B"
1066,16,"Male","African American","High School",18.1116427514626,6,1,"High",1,0,0,0,3.26185530733329,"B"
1067,18,"Male","Caucasian","Higher",2.39519932864394,23,0,"High",0,1,0,0,1.03962387914771,"E"
1068,15,"Female","Caucasian","High School",10.6386595510558,28,0,"None",0,1,0,0,0.0278186247324679,"E"
1069,18,"Female","Other","Some College",5.69023919484888,21,1,"High",0,0,1,0,1.32996453787688,"E"
1070,16,"Female","Asian","High School",0.941223957538948,1,0,"Very High",0,0,1,0,3.28391652189738,"B"
1071,16,"Male","African American","Some College",13.3709339022797,6,0,"Moderate",1,0,0,0,2.93745418231686,"C"
1072,16,"Female","African American","High School",17.2554155491845,28,0,"High",0,0,1,1,0.73886820280526,"E"
1073,15,"Male","African American","High School",3.25805308954788,8,0,"Moderate",1,1,0,0,2.55680166283342,"C"
1074,16,"Male","Caucasian","Bachelor's",16.248273152478,4,1,"Moderate",0,0,0,0,3.3009285689708,"B"
1075,15,"Female","Caucasian","Bachelor's",17.0679146707388,14,0,"High",1,0,1,0,2.20068294656056,"D"
1076,16,"Male","Caucasian","Bachelor's",18.2868088533297,17,0,"High",0,1,0,0,1.85586557316819,"E"
1077,18,"Male","Caucasian","Some College",5.30570178172105,3,0,"High",0,0,0,0,2.73440149441999,"C"
1078,18,"Female","African American","Bachelor's",18.0790613037978,18,1,"Low",1,1,0,0,2.13173729718723,"D"
1079,17,"Female","Caucasian","None",6.41325509472864,19,0,"Low",0,0,0,0,0.979769910775286,"E"
1080,18,"Female","Other","High School",11.0467602691101,25,0,"High",0,1,0,0,0.994325023551287,"E"
